United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society",Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,Conway,"60,700","6,566","1,755","4,022",789,"1,704",148,764,792,1,1,,,12,36,32,,1,3,2,,2,9,,417,160,793,,,310,124,181,5,,,"2,097",,,498,10,4,412,77,"1,096",105,79,52,733,569,164,,,,,,5,1,1,,50
,,Corning,"3,348",146,26,77,43,26,2,16,8,,,,,,,,,,,,,,,,22,3,16,,,3,,1,2,,,29,,,7,7,,1,,14,2,1,1,41,33,8,,,,,,,,,,2
,,Crossett,"5,487",659,82,540,37,79,13,61,5,1,1,,,,2,1,1,,,,,,4,,117,9,112,,,29,14,14,1,,,256,,,48,,,1,,207,5,6,2,28,27,1,,,,,,,,,,9
,,Danville,"2,405",62,20,29,13,19,1,14,4,1,,1,,,,,,,,,,,,,6,3,3,,,1,1,,,,,14,,,2,1,,4,,7,1,,1,12,12,,,,,,,,,,,1
,,Dardanelle,"4,738",421,119,289,13,112,19,64,29,,,,,,7,3,,,4,,,,,,98,18,38,,,19,9,8,2,,,102,,1,1,6,,9,,85,3,6,5,9,9,,,,,,,1,,,,3
,,Decatur,"1,752",87,25,60,2,19,4,6,9,,,,,1,5,,1,,4,,,,1,,19,,9,,,4,,,4,,,22,,1,,7,,3,1,10,3,,2,2,1,1,,,,,,,,,,
,,De Queen,"6,708",418,72,285,61,62,16,41,5,,,,,4,6,3,,,3,,,,1,,56,16,19,,,12,,12,,,,171,1,4,27,20,2,9,,108,2,1,7,59,34,25,,,,,,,,,,2
,,De Witt,"3,282",325,79,182,64,74,14,49,11,,,,,2,3,3,,,,,,,1,,32,9,37,,,6,2,4,,,,89,,,6,19,1,20,1,42,1,2,5,54,38,16,,,,,,,,,,10
,,Diaz,"1,313",57,22,33,2,22,3,16,3,,,,,,,,,,,,,,,,11,,5,,,,,,,,,13,1,,,5,,1,1,5,3,,1,2,2,,,,,,,,,,,
,,Dumas,"4,635",221,56,144,21,53,16,32,5,,,,,,3,3,,,,,,,1,,61,9,1,,,1,,1,,,,56,,,10,22,,12,1,11,9,5,1,12,11,1,,,,,,,,,,9
,,Earle,"2,405",230,57,169,4,57,10,18,29,,,,,,,,,,,,,,5,,41,1,37,,,3,1,,2,,,78,,,3,1,,1,,73,2,1,1,2,1,1,1,1,,,,,,,,1
,,El Dorado,"18,860","2,349",575,"1,678",96,559,165,241,153,2,1,1,,3,10,2,,7,1,1,,1,7,,429,90,327,1,,69,36,32,1,,,691,,,78,1,,19,,593,35,29,,83,73,10,,,,,,,,,,13
,,Elkins,"2,718",51,16,23,12,14,2,8,4,,,,,1,1,,,,1,,,,,,4,2,3,,,,,,,,,13,,,3,5,,,,5,1,,,12,10,2,,,,,,,,,,
,,Eudora,"2,261",70,37,33,0,36,,7,29,,,,,,1,1,,,,,,,1,,1,,10,,,,,,,,,20,,,,2,,2,,16,,1,,,,,,,,,,,,,,
,,Eureka Springs,"2,082",208,51,134,23,49,1,35,13,,,,,,2,2,,,,,,,,,20,1,27,,,7,,7,,,,77,1,,5,8,,5,1,57,2,,,23,14,9,,,,,,,,,,
,,Fairfield Bay,"2,319",88,23,62,3,23,5,10,8,,,,,,,,,,,,,,1,,17,2,2,,,3,,1,2,,,34,,,,15,,4,4,11,,,3,3,3,,,,,,,,,,,
,,Farmington,"6,133",294,115,149,30,104,28,46,30,,,,,2,9,2,2,,5,,,,,,29,8,29,,,1,,1,,,,80,,,,29,,28,2,21,1,,1,26,20,6,,,,,,1,,,,3
,,Fayetteville,"75,387","7,268","1,737","4,680",851,"1,631",289,"1,007",335,2,1,,1,32,71,59,,1,11,1,,1,7,,515,156,998,,2,303,102,161,40,,,"2,455",1,1,428,816,2,622,95,490,128,40,76,783,476,307,,,,,,22,6,4,2,40
,,Flippin,"1,354",260,37,103,120,33,3,17,13,,,,,,4,2,,,2,,,,,,20,1,18,,,1,,1,,,,61,,,14,14,,9,2,22,,1,1,113,97,16,,,,,,6,,,,1
,,Fordyce,"4,295",410,131,263,16,121,26,68,27,2,2,,,1,7,4,1,,2,,,,1,,69,11,21,,,6,1,5,,,,139,,,17,15,,14,1,92,7,7,2,13,12,1,,,,,,,,,,3
,,Forrest City,"15,295","2,625",703,"1,813",109,677,74,387,216,4,4,,,3,17,6,,,11,2,,2,6,,355,61,458,2,,15,5,6,4,,,839,2,1,145,279,1,221,11,179,32,38,7,96,91,5,2,,1,,1,,,,,11
,,Fort Smith,"87,483","11,276","2,761","7,066","1,449","2,577",522,999,"1,056",5,5,,,31,144,70,10,,64,4,2,2,10,,"1,077",215,"1,309",,,495,272,174,47,2,,"3,640",4,,627,504,13,635,51,"1,806",196,95,29,"1,299",924,375,4,,1,3,,10,34,33,1,102
,,Gassville,"2,087",63,11,38,14,9,1,7,1,,,,,,2,2,,,,,,,,,5,2,2,,,,,,,,,27,,,3,8,,2,,14,1,,1,13,11,2,,,,,,,,,,1
,,Gentry,"3,260",84,34,45,5,32,4,13,15,,,,,,2,1,1,,,,,,,,8,1,2,,,5,,1,4,,,25,,,,3,,,2,20,3,,1,5,4,1,,,,,,,,,,
,,Glenwood,"2,228",159,26,102,31,24,1,15,8,,,,,,2,,,1,1,,,,,,21,6,9,,,7,,2,5,,,48,,,4,12,1,13,5,13,,,11,30,18,12,,,,,,,,,,1
,,Gravette,"2,400",155,38,84,33,35,6,19,10,,,,,,3,,1,,2,,,,,,6,11,15,,,1,,1,,,,42,,,3,5,1,4,,29,7,,2,32,20,12,,,,,,,,,,1
,,Green Forest,"2,779",268,66,165,37,57,15,26,16,,,,,,9,7,,,2,,,,,,34,10,36,,,3,,3,,,,78,,1,11,17,,12,4,33,2,2,,33,27,6,,,,,,,,,,4
,,Greenland,"1,292",82,23,42,17,21,5,13,3,,,,,,2,,2,,,,,,,,9,,8,,,5,5,,,,,18,,,,3,,2,,13,2,,,16,9,7,,,,,,,,,,1
,,Greenwood,"9,086",263,91,125,47,89,19,40,30,,,,,,1,,,,1,1,1,,,,38,10,9,,,5,2,,3,,,59,,,1,6,,9,3,40,1,,3,42,29,13,,,,,,,,,,5
,,Greers Ferry,892,68,11,49,8,11,1,5,5,,,,,,,,,,,,,,,,8,,14,,,1,,1,,,,25,,,,11,,5,2,7,,,1,7,4,3,,,,,,,,,,1
,,Gurdon,"2,205",135,55,75,5,54,13,27,14,,,,,,1,1,,,,,,,,,17,10,18,,,1,,1,,,,25,,,4,6,,7,,8,3,,1,3,3,,,,,,,,,,,2
,,Guy,732,39,6,27,6,6,3,2,1,,,,,,,,,,,,,,,,8,2,1,,,,,,,,,13,,,,1,,,,12,2,,1,5,5,,,,,,,,,,,1
,,Hamburg,"2,883",133,49,73,11,48,14,31,3,1,1,,,,,,,,,,,,1,,16,,12,,,6,,4,2,,,37,,,4,,,,,33,,1,,7,7,,,,,,,,,,,4
,,Hampton,"1,273",76,24,42,10,20,6,12,2,1,1,,,1,2,1,,,1,,,,,,5,2,11,,,1,,1,,,,20,,,,1,,2,1,16,2,,1,8,7,1,,,,,,,,,,2
,,Hardy,780,92,15,70,7,12,2,10,,,,,,,3,2,1,,,,,,,,15,,7,,,2,,,2,,,40,,2,,2,,2,,34,3,1,2,7,6,1,,,,,,,,,,
,,Harrisburg,"2,292",253,52,186,15,49,7,33,9,,,,,2,1,1,,,,,,,1,,45,11,37,,,1,1,,,,,82,,,12,6,,14,,50,3,1,5,15,12,3,,,,,,,,,,
,,Harrison,"13,043","1,787",324,"1,145",318,300,47,182,71,2,1,1,,5,17,11,1,,5,,,,6,,159,49,175,,,89,58,30,1,,,608,,5,139,51,,41,5,367,29,1,29,278,152,126,1,1,,,,6,1,1,,32
,,Heber Springs,"7,173",746,203,472,71,196,12,110,74,,,,,,7,7,,,,,,,,,104,31,93,,,16,3,11,2,,,176,,,20,28,1,29,6,92,11,,41,67,44,23,,,,,,1,,,,3
,,Helena-West Helena,"12,152","2,522",647,"1,650",225,627,130,354,143,1,1,,,7,11,8,1,1,1,1,1,,11,,475,23,433,,,39,2,19,18,,,542,4,10,123,80,1,30,7,287,31,26,70,163,149,14,,,,,,1,,,,61
,,Highland,"1,056",58,13,29,16,13,4,8,1,,,,,,,,,,,,,,1,,10,2,2,,,,,,,,,12,,,5,3,,,1,3,,,2,15,15,,,,,,,,,,,1
,,Hope,"10,103","1,414",411,959,44,384,72,261,51,1,1,,,,25,11,1,,13,1,,1,4,,229,58,172,,,28,9,14,,5,,426,3,7,79,28,1,59,17,232,26,13,3,38,36,2,,,,,,,,,,6
,,Horseshoe Bend,"2,146",83,16,56,11,15,2,3,10,,,,,,1,1,,,,,,,,,16,2,7,,,,,,,,,30,,1,2,7,,3,,17,1,,,10,9,1,,,,,,,,,,1
,,Hot Springs,"35,722","4,819",637,"3,937",245,601,90,447,64,11,9,2,,1,20,10,,1,9,4,,4,2,,618,112,551,6,,142,53,63,17,1,8,"2,336",,5,533,17,1,432,33,"1,315",115,55,,190,131,59,,,,,,,18,18,,37
,,Jacksonville,"28,733","4,625","1,240","2,763",622,"1,201",193,612,396,2,2,,,2,34,23,3,,8,1,,1,4,,346,89,735,11,1,140,68,60,12,,,"1,276",,1,392,368,8,194,67,246,72,34,55,564,358,206,,,,,,1,,,,57
,,Jonesboro,"68,807","8,189","1,401","5,851",937,"1,334",192,455,687,4,4,,,15,47,21,2,3,21,1,1,,12,,"1,174",222,923,,,305,74,223,7,,1,"2,899",9,9,501,568,4,406,21,"1,381",114,79,123,876,656,220,,,,,,7,,,,54
,,Kensett,"1,678",105,36,61,8,34,4,21,9,,,,,,2,1,,,1,,,,,,9,,19,,,3,,3,,,,26,,,1,6,,1,1,17,4,,,7,5,2,,,,,,,,,,1
,,Lakeview,745,23,5,12,6,4,2,1,1,,,,,1,,,,,,,,,,,,,4,,,3,1,1,1,,,5,,,1,2,,,,2,,,,5,3,2,,,,,,,,,,1
,,Lake Village,"2,567",352,112,206,34,110,52,25,33,,,,,1,1,1,,,,,,,1,,38,2,42,,,12,3,9,,,,93,1,,9,13,,12,,58,2,7,9,23,21,2,,,,,,,,,,11
,,Lepanto,"1,895",149,31,103,15,27,6,21,,,,,,1,3,2,,,1,,,,1,,24,,12,,,5,1,2,2,,,54,,,7,3,1,7,2,34,1,,6,15,10,5,,,,,,,,,,
,,Lewisville,"1,272",54,7,40,7,6,2,1,3,,,,,,1,,1,,,,,,,,10,1,5,,,1,,1,,,,23,,,1,,1,1,,20,,,,6,4,2,,,,,,,,,,1
,,Lincoln,"2,308",86,21,58,7,20,,17,3,,,,,1,,,,,,,,,,,18,2,7,,,1,,1,,,,30,,,1,8,,3,3,15,,,,7,5,2,,,,,,,,,,
,,Little Flock,"2,667",90,32,43,15,29,4,5,20,,,,,,3,1,1,,1,,,,,,4,1,8,,,4,2,2,,,,21,,,,8,,2,,11,3,,2,7,4,3,,,,,,,6,6,,2
,,Little Rock,"196,055","32,138","11,135","19,487","1,516","10,888","1,632","6,175","3,081",45,45,,,53,149,140,9,,,,,,87,,"4,226",411,"1,213",1,,877,28,644,197,,8,"10,556",,4,"1,980",54,2,"2,935",164,"5,417","1,133",814,169,"1,051",629,422,3,,1,2,,3,219,171,48,240
,,Lonoke,"4,319",508,135,311,62,133,16,76,41,,,,,1,1,,,,1,,,,2,,40,19,55,,,10,1,9,,,,176,,,1,15,,9,1,150,3,2,4,54,35,19,,,,,,1,,,,7
,,Lowell,"7,565",438,67,319,52,62,10,28,24,,,,,3,2,,,,2,,,,1,,55,5,59,,,8,2,6,,,,176,,1,5,33,,24,6,107,13,1,1,45,26,19,,,,,,1,,,,6
,,Luxora,"1,169",20,7,13,0,7,2,2,3,,,,,,,,,,,,,,,,2,,7,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,
,,Magnolia,"11,554",724,123,548,53,118,20,94,4,,,,,1,3,3,,,,1,,1,1,,157,34,49,1,,31,17,6,8,,,245,2,,36,45,3,34,5,120,24,4,2,47,40,7,,,,,,1,,,,5
,,Marianna,"4,084",275,63,205,7,63,1,60,2,,,,,,,,,,,,,,2,,69,2,4,,,1,,1,,,,112,,1,13,7,,4,1,86,9,6,,4,4,,,,,,,,,,,3
,,Marion,"12,300","1,323",423,814,86,406,48,192,166,,,,,7,9,5,1,,3,1,1,,5,,178,9,154,,,39,24,12,3,,,388,,1,23,36,1,59,4,264,23,10,8,66,48,18,,,,,,3,,,,17
,,Marmaduke,"1,132",135,32,85,18,30,13,10,7,,,,,,2,1,,,1,,,,,,21,4,10,,,,,,,,,49,,,4,14,,6,2,23,1,,,17,14,3,,,,,,,1,1,,
,,Maumelle,"17,391",946,183,525,238,178,21,98,59,1,1,,,1,3,1,1,1,,,,,3,,52,15,81,,,29,8,17,4,,,318,1,1,25,6,,129,23,133,8,5,14,229,138,91,1,,1,,,,,,,8
,,Mayflower,"2,307",191,31,108,52,29,2,13,14,,,,,,2,1,,,1,,,,,,24,2,6,,,10,,7,3,,,56,1,,7,19,,5,,24,6,1,3,48,29,19,,,,,,,,,,4
,,McGehee,"4,157",454,139,295,20,130,22,66,42,,,,,5,4,3,,,1,,,,2,,47,7,75,,,19,2,16,1,,,135,,3,14,80,,6,5,27,5,3,2,14,10,4,,,,,,,,,,6
,,McRae,696,71,22,49,0,20,1,8,11,,,,,,2,,,,2,,,,,,13,,8,,,1,,,1,,,27,,,1,7,,10,2,7,,,,,,,,,,,,,,,,
,,Mena,"5,745",735,160,537,38,147,9,77,61,1,1,,,4,8,5,1,,2,,,,2,,109,29,51,,,8,1,4,3,,,313,,,40,77,2,40,4,150,10,2,13,33,20,13,,,,,,1,,,,4
,,Mineral Springs,"1,221",47,13,27,7,13,2,9,2,,,,,,,,,,,,,,,,10,,7,,,1,,1,,,,8,,,,1,,,1,6,1,,,5,5,,,,,,,,,,,2
,,Monticello,"9,482",898,170,638,90,162,31,101,30,,,,,4,4,3,1,,,,,,,,111,24,122,,,34,4,11,19,,,335,3,2,82,22,,45,5,176,7,4,1,69,62,7,,,,,,,,,,21
,,Morrilton,"6,792",942,250,484,208,239,17,113,109,,,,,3,8,2,,,6,,,,,,36,11,97,,,28,1,13,14,,,298,2,1,55,79,1,36,8,116,6,,8,193,148,45,,,,,,1,,,,14
,,Mountain Home,"12,501","1,208",148,869,191,133,1,94,38,,,,,,15,6,,8,1,,,,,,32,27,133,,,48,35,13,,,,615,6,,109,3,,90,1,406,12,,2,188,138,50,,,,,,,,,,3
,,Mountain View,"2,804",243,59,147,37,55,8,26,21,,,,,,4,4,,,,,,,1,,22,6,24,,,8,3,4,1,,,82,1,2,8,11,2,5,1,52,3,,1,32,27,5,,,,,,1,,,,4
,,Mulberry,"1,660",195,73,113,9,68,6,50,12,,,,,1,4,2,,,2,,,,,,34,2,12,,,4,,4,,,,60,,,3,,,,,57,,1,,8,5,3,,,,,,,,,,1
,,Murfreesboro,"1,644",81,10,14,57,9,2,7,,,,,,,1,,,1,,,,,,,,1,2,,,1,1,,,,,10,,,5,,,,,5,,,,53,33,20,,,,,,,,,,4
,,Nashville,"4,678",497,40,390,67,35,16,6,13,,,,,,5,2,,,3,,,,,,66,24,30,,,16,2,13,1,,,245,,1,50,6,,15,,173,1,1,7,58,44,14,,,,,,,,,,9
,,Newport,"7,862","1,284",294,897,93,281,3,196,82,,,,,,11,5,6,,,2,,2,3,,154,35,193,,,11,,11,,,,469,,,17,,,,,452,19,13,,74,57,17,,,,,,,,,,19
,,North Little Rock,"63,125","10,425","1,821","7,746",858,"1,781",274,997,510,9,8,1,,11,14,9,1,,4,6,,6,10,,"1,188",181,"1,419",12,,287,48,211,25,2,1,"3,925",13,17,863,429,9,"1,120",180,"1,294",369,179,176,694,529,165,,,,,,,2,2,,162
,,Osceola,"7,702","1,072",238,754,80,224,88,51,85,,,,,2,10,9,,,1,2,1,1,4,,195,19,202,,,30,7,12,11,,,288,1,1,45,19,4,35,8,175,10,5,1,71,56,15,,,,,,,,,,9
,,Ozark,"3,683",495,147,307,41,135,13,61,61,,,,,,12,5,1,1,5,,,,,,46,17,53,,,29,2,22,5,,,152,,,2,43,,9,4,94,4,1,5,39,28,11,,,,,,,,,,2
,,Pangburn,611,57,14,37,6,14,,4,10,,,,,,,,,,,,,,,,8,4,2,,,1,,1,,,,21,,,1,6,,1,,13,1,,,6,6,,,,,,,,,,,
,,Paragould,"26,602","4,114","1,017","2,950",147,974,61,656,257,4,2,2,,2,30,10,8,,12,7,,7,6,,580,82,623,,,89,34,53,,,2,"1,456",,,194,,,,,"1,262",88,16,10,122,92,30,,,,,,1,1,,1,23
,,Paris,"3,535",376,66,269,41,65,6,27,32,,,,,,1,,,,1,,,,,,75,13,27,,,7,3,3,1,,,130,,2,6,25,,20,2,75,7,,10,37,22,15,,,,,,,,,,4
,,Parkin,"1,103",114,21,55,38,21,8,5,8,,,,,,,,,,,,,,2,,23,,9,,,3,1,,2,,,18,,,,,,,,18,,,,34,22,12,,,,,,,,,,4
,,Pea Ridge,"4,948",321,99,171,51,93,22,18,53,,,,,1,5,1,,3,1,,,,1,,36,7,43,,,8,1,6,1,,,67,,,1,7,,5,,54,2,1,6,46,27,19,,,,,,,1,1,,4
,,Perryville,"1,461",63,21,40,2,21,1,13,7,,,,,,,,,,,,,,,,3,1,7,,,1,1,,,,,27,,,2,5,,5,1,14,1,,,1,1,,,,,,,,,,,1
,,Piggott,"3,813",202,26,161,15,26,4,13,9,,,,,,,,,,,,,,1,,40,6,41,,,4,2,2,,,,67,,,1,14,1,24,1,26,,,2,14,8,6,,,,,,,,,,1
